number,heightOfTheFlowerTruss,passdays
1,26.37,7
74,38.09,7
75,19.54,7
76,17.84,7
77,28.99,7
78,16.71,7
80,21.42,7
82,21.98,7
84,24.39,7
85,21.98,7
86,43.5,7
87,17.7,7
88,18.41,7
90,31.36,7
91,21.38,7
94,25.91,7
96,14.23,7
99,35.4,7
39,22.16,7
39,13.504999999999999,7
38,24.53,7
37,13.504999999999999,7
36,2.44,7
35,13.504999999999999,7
73,29.59,7
34,4.0,7
32,13.504999999999999,7
31,13.504999999999999,7
28,13.504999999999999,7
100,16.57,7
100,13.84,7
100,16.67,7
33,13.504999999999999,7
72,31.4,7
71,20.14,7
17,4.88,7
2,4.6,7
4,2.34,7
5,2.09,7
6,13.504999999999999,7
10,1.95,7
11,2.41,7
13,3.12,7
16,2.8,7
18,7.89,7
19,1.77,7
20,2.41,7
21,2.41,7
1,25.24,7
23,13.504999999999999,7
25,13.504999999999999,7
26,13.504999999999999,7
27,2.16,7
22,2.55,7
68,18.97,8
65,21.98,8
64,34.87,8
63,20.99,8
62,22.19,8
70,27.5,8
69,29.56,8
61,28.64,8
11,28.74,9
10,26.65,9
9,23.68,9
12,18.12,9
13,30.65,9
8,21.35,9
7,13.504999999999999,9
18,29.2,9
2,32.99,9
4,6.23,9
3,38.83,9
11,35.47,9
12,8.81,9
29,22.83,10
34,21.88,10
33,27.72,10
27,22.76,10
26,26.83,10
23,34.12,10
35,37.03,10
39,36.11,10
41,40.88,10
42,33.66,10
44,16.42,10
48,24.99,10
49,13.504999999999999,10
46,31.5,10
55,1.81,10
21,32.64,10
22,28.21,10
70,15.68,10
52,36.14,10
67,24.64,10
67,24.71,10
68,15.93,10
62,3.36,10
59,22.23,10
58,16.64,10
57,18.69,10
66,9.1,10
75,33.84,11
79,18.02,11
76,20.6,11
77,20.67,11
78,18.19,11
80,14.34,11
91,12.57,11
82,5.49,11
100,9.63,11
98,27.19,11
97,14.19,11
81,35.75,11
92,28.64,11
91,37.49,11
95,16.71,11
89,13.98,11
87,23.68,11
85,13.504999999999999,11
84,20.74,11
83,13.06,11
19,38.44,16
18,44.99,16
17,19.93,16
3,33.56,16
1,5.17,16
2,1.88,16
4,2.58,16
24,17.17,16
6,4.46,16
2,13.504999999999999,16
1,25.06,16
5,26.16,16
5,13.504999999999999,16
6,42.02,16
7,13.504999999999999,16
8,13.504999999999999,16
9,20.88,16
10,20.96,16
10,22.83,16
11,13.504999999999999,16
11,35.5,16
5,1.91,16
11,22.87,16
13,20.99,16
13,20.78,16
15,38.19,16
16,39.79,16
17,21.38,16
20,26.97,16
24,18.51,16
10,6.09,16
10,5.84,16
9,1.84,16
8,1.88,16
7,2.05,16
11,21.59,16
20,22.97,16
3,13.504999999999999,16
21,13.504999999999999,16
27,42.94,16
29,38.3,16
30,20.0,16
21,16.6,16
26,19.29,16
25,26.9,16
27,19.79,16
25,26.94,16
30,25.24,16
31,10.3,16
25,26.48,16
36,16.88,17
39,27.79,17
39,25.31,17
41,30.37,17
41,31.04,17
41,31.82,17
36,20.39,17
38,23.79,17
41,31.04,17
35,36.11,17
42,31.33,17
43,19.47,17
44,16.35,17
44,15.33,17
44,16.42,17
45,31.22,17
51,29.95,17
50,23.54,17
49,30.65,17
48,16.57,17
48,16.74,17
46,24.5,17
41,39.43,17
34,32.11,17
51,27.15,17
33,28.88,17
68,17.7,17
67,13.504999999999999,17
67,25.27,17
66,19.22,17
66,18.02,17
65,25.63,17
64,26.69,17
64,28.11,17
63,34.55,17
62,22.23,17
61,17.98,17
61,18.34,17
60,27.29,17
59,26.87,17
59,29.49,17
57,18.37,17
57,18.9,17
56,29.35,17
55,32.46,17
54,28.53,17
53,15.82,17
52,31.89,17
46,25.56,17
34,35.68,17
45,28.28,17
33,1.88,18
37,2.41,18
70,13.504999999999999,18
72,21.2,18
72,13.504999999999999,18
73,15.04,18
73,13.504999999999999,18
74,27.04,18
74,13.504999999999999,18
75,13.504999999999999,18
11,4.07,18
15,1.98,18
17,1.98,18
19,1.7,18
20,1.84,18
38,3.29,18
20,2.05,18
21,1.91,18
23,3.79,18
25,1.84,18
26,1.13,18
27,1.59,18
28,2.55,18
31,3.29,18
32,3.01,18
33,1.88,18
34,7.93,18
35,21.03,18
35,21.35,18
36,2.9,18
20,2.02,18
69,29.24,18
43,25.84,19
49,31.04,19
49,31.04,19
60,4.07,19
60,4.04,19
57,2.83,19
55,7.58,19
53,3.12,19
53,1.73,19
53,2.97,19
52,13.81,19
51,10.83,19
50,13.504999999999999,19
49,8.0,19
41,16.35,19
58,1.42,19
42,8.99,19
41,15.86,19
48,13.31,19
48,14.19,19
46,13.504999999999999,19
45,10.23,19
44,10.16,19
44,13.504999999999999,19
46,6.48,19
44,13.504999999999999,19
43,9.1,19
48,14.05,19
44,10.09,19
78,5.31,20
78,5.06,20
74,2.3,20
78,5.03,20
76,19.54,20
76,19.61,20
75,5.17,20
74,3.54,20
74,2.34,20
75,13.504999999999999,20
79,6.94,20
76,11.4,20
79,7.08,20
81,7.5,20
79,7.12,20
80,4.71,20
81,4.88,20
81,4.71,20
82,2.62,20
82,3.33,20
82,3.47,20
83,8.28,20
83,8.28,20
73,13.504999999999999,20
84,21.81,20
83,8.67,20
84,17.45,20
84,21.81,20
79,6.87,20
73,3.93,20
71,2.73,20
72,2.9,20
61,1.77,20
73,13.504999999999999,20
62,3.72,20
63,24.81,20
63,11.08,20
65,4.35,20
65,6.12,20
65,4.35,20
65,6.37,20
66,5.7,20
66,6.76,20
66,6.73,20
61,1.77,20
67,26.09,20
67,26.19,20
71,2.73,20
71,3.01,20
70,3.15,20
70,3.08,20
71,3.04,20
69,2.94,20
68,10.05,20
68,7.65,20
68,10.05,20
69,2.05,20
90,2.37,21
94,2.23,21
93,14.27,21
93,23.75,21
92,11.47,21
92,27.43,21
91,1.77,21
91,1.63,21
90,2.58,21
85,3.01,21
88,5.73,21
86,3.4,21
86,2.87,21
96,1.73,21
85,2.27,21
95,22.58,21
99,2.3,21
99,2.09,21
96,2.16,21
90,2.37,21
94,1.7,21
100,5.73,21
100,6.51,21
30,31.58,21
28,6.76,21
27,11.26,21
25,4.85,21
22,1.88,21
21,24.85,21
20,2.97,21
18,6.73,21
17,13.56,21
15,12.32,21
18,6.87,21
12,2.3,21
11,19.93,21
10,5.52,21
8,11.79,21
6,22.44,21
6,19.01,21
5,9.91,21
3,18.65,21
1,5.88,21
13,2.09,21
54,3.96,22
47,20.85,22
50,1.63,22
52,20.04,22
55,3.82,22
53,7.19,22
58,2.37,22
59,6.44,22
60,4.35,22
46,11.65,22
56,13.66,22
44,5.52,22
40,10.37,22
42,7.43,22
41,6.48,22
37,12.64,22
36,9.95,22
35,14.09,22
34,1.03,22
33,27.68,22
32,5.27,22
43,1.84,22
75,14.94,23
75,13.73,23
75,18.41,23
76,7.65,23
76,13.45,23
77,6.23,23
78,4.53,23
81,9.66,23
80,13.63,23
80,13.45,23
81,8.11,23
82,9.13,23
84,7.86,23
83,8.5,23
73,12.28,23
79,5.1,23
73,13.03,23
1,13.504999999999999,23
71,19.47,23
20,13.42,23
85,2.94,23
61,24.32,23
62,23.79,23
64,20.04,23
65,21.98,23
66,5.84,23
67,3.15,23
67,39.15,23
68,30.9,23
69,16.85,23
69,11.79,23
70,11.12,23
70,15.54,23
71,14.9,23
72,5.31,23
85,23.29,23
86,16.0,23
86,6.09,23
20,13.504999999999999,23
20,13.504999999999999,23
21,22.3,23
22,36.04,23
22,36.46,23
24,17.88,23
25,43.54,23
19,14.34,23
25,48.5,23
26,20.78,23
27,13.504999999999999,23
27,12.53,23
28,13.504999999999999,23
28,19.93,23
30,13.504999999999999,23
30,30.94,23
26,38.12,23
31,30.44,23
18,21.63,23
17,13.504999999999999,23
2,17.49,23
2,13.504999999999999,23
4,13.504999999999999,23
4,32.0,23
5,24.53,23
6,36.42,23
7,13.504999999999999,23
17,28.78,23
7,30.58,23
8,12.67,23
9,15.86,23
10,13.504999999999999,23
11,14.97,23
13,13.504999999999999,23
13,36.74,23
15,13.504999999999999,23
8,41.81,23
1,21.81,23
32,29.73,23
36,35.58,23
97,14.97,23
97,7.65,23
96,8.92,23
95,24.04,23
95,6.34,23
94,6.97,23
93,15.33,23
98,17.35,23
93,5.45,23
92,4.28,23
91,13.504999999999999,23
90,3.47,23
89,15.75,23
89,14.16,23
88,5.35,23
87,18.69,23
92,31.68,23
35,31.89,23
99,8.57,23
1,18.05,23
36,13.504999999999999,23
37,16.6,23
39,22.69,23
40,46.19,23
10,24.46,23
10,24.42,23
9,11.22,23
9,11.26,23
8,11.29,23
7,2.55,23
6,1.59,23
6,1.52,23
4,3.19,23
4,33.63,23
3,6.19,23
8,11.29,23
14,13.504999999999999,23
75,20.11,24
76,13.504999999999999,24
64,53.35,24
50,16.57,24
51,13.504999999999999,24
51,23.15,24
69,24.11,24
52,13.504999999999999,24
52,37.77,24
68,14.05,24
54,43.33,24
68,13.504999999999999,24
55,39.61,24
56,13.504999999999999,24
56,25.73,24
57,15.19,24
59,13.504999999999999,24
59,17.98,24
60,46.02,24
60,18.27,24
61,37.42,24
61,15.22,24
49,33.59,24
63,57.31,24
49,13.504999999999999,24
47,13.504999999999999,24
65,23.65,24
67,13.504999999999999,24
67,16.88,24
75,13.504999999999999,24
41,20.39,24
43,11.79,24
74,17.91,24
74,13.504999999999999,24
73,15.36,24
73,13.504999999999999,24
72,12.42,24
45,13.504999999999999,24
72,32.53,24
45,16.78,24
71,13.504999999999999,24
46,13.504999999999999,24
46,18.94,24
70,16.39,24
70,13.504999999999999,24
48,27.26,24
64,22.3,24
31,1.31,25
32,25.06,25
28,3.61,25
29,6.9,25
30,6.02,25
26,4.96,25
32,25.03,25
35,17.52,25
35,17.45,25
36,1.7,25
38,13.504999999999999,25
39,9.7,25
40,1.52,25
27,31.47,25
25,7.54,25
23,1.95,25
23,1.95,25
21,4.6,25
21,4.6,25
20,16.18,25
19,5.49,25
11,5.38,25
12,7.89,25
15,9.49,25
16,8.42,25
17,13.95,25
24,10.34,25
26,4.92,25
48,13.56,26
43,22.12,26
45,12.64,26
46,3.89,26
60,3.04,26
58,12.42,26
57,9.03,26
56,3.15,26
55,5.84,26
54,6.8,26
52,18.09,26
51,17.42,26
50,7.75,26
49,5.2,26
48,27.4,26
46,10.16,26
83,15.12,27
62,3.36,27
79,4.25,27
76,1.88,27
75,23.68,27
74,25.38,27
72,12.18,27
71,6.3,27
70,5.77,27
69,13.504999999999999,27
68,1.45,27
67,5.27,27
66,3.61,27
84,11.79,27
61,12.99,27
81,3.19,27
23,12.25,28
23,11.43,28
24,4.07,28
24,4.21,28
25,15.04,28
26,13.38,28
26,15.75,28
27,6.48,28
28,4.85,28
28,5.66,28
13,12.67,28
29,19.5,28
7,6.09,28
13,10.23,28
15,5.95,28
15,4.92,28
16,7.72,28
17,19.96,28
17,9.52,28
17,20.0,28
17,9.52,28
18,16.11,28
19,3.47,28
20,7.86,28
21,8.64,28
21,15.75,28
10,10.48,28
10,11.01,28
1,3.33,28
2,6.51,28
2,6.62,28
3,14.8,28
5,22.41,28
5,6.23,28
6,7.26,28
6,14.05,28
12,12.28,28
30,6.27,28
9,6.69,28
95,5.49,28
86,1.17,28
87,3.79,28
88,1.56,28
90,3.04,28
92,1.73,28
93,19.29,28
94,12.21,28
97,11.72,28
98,13.66,28
99,11.72,28
9,6.65,28
53,13.504999999999999,29
38,13.504999999999999,29
50,13.504999999999999,29
54,25.52,29
51,13.504999999999999,29
54,9.81,29
58,13.52,29
55,13.504999999999999,29
56,13.504999999999999,29
60,19.36,29
59,12.04,29
49,13.504999999999999,29
55,16.39,29
49,13.504999999999999,29
48,13.504999999999999,29
46,5.81,29
37,13.504999999999999,29
36,1.56,29
36,1.52,29
35,12.0,29
35,5.81,29
34,6.12,29
34,4.35,29
33,17.7,29
33,13.504999999999999,29
32,7.33,29
32,8.21,29
38,13.504999999999999,29
31,5.27,29
39,7.82,29
40,13.504999999999999,29
41,7.82,29
41,8.11,29
42,13.504999999999999,29
42,13.504999999999999,29
43,13.504999999999999,29
43,11.04,29
44,2.37,29
44,13.504999999999999,29
45,12.21,29
31,4.39,29
52,6.94,29
14,13.504999999999999,29
28,16.99,29
14,21.88,29
57,3.33,29
15,17.27,29
16,3.96,29
17,37.52,29
18,9.45,29
13,13.504999999999999,29
19,18.83,29
22,9.77,29
23,5.35,29
24,13.27,29
25,6.05,29
25,43.61,29
26,44.18,29
21,50.65,29
27,12.28,29
12,13.1,29
11,29.84,29
1,20.28,29
2,12.92,29
3,11.22,29
3,35.12,29
4,16.07,29
4,23.22,29
11,29.38,29
5,38.16,29
6,12.07,29
7,11.12,29
8,26.19,29
8,24.71,29
9,9.73,29
10,17.13,29
6,9.1,29
27,10.65,29
57,13.504999999999999,29
28,13.504999999999999,29
29,32.0,29
30,13.24,29
30,13.38,29
51,6.94,30
53,20.96,30
54,24.35,30
55,13.504999999999999,30
56,29.45,30
56,33.35,30
57,13.66,30
51,5.98,30
58,16.99,30
58,52.35,30
58,6.9,30
58,10.19,30
59,49.35,30
57,11.72,30
50,10.97,30
49,13.504999999999999,30
60,8.92,30
49,13.63,30
48,24.64,30
48,32.18,30
47,10.16,30
46,7.68,30
45,44.96,30
45,7.79,30
44,13.27,30
42,30.58,30
42,26.27,30
39,11.01,30
39,4.74,30
38,48.25,30
50,12.46,30
60,8.11,30
78,13.95,30
61,4.21,30
83,5.24,30
83,6.16,30
84,16.67,30
86,7.5,30
86,4.96,30
88,6.16,30
88,4.92,30
89,7.19,30
89,6.05,30
92,8.0,30
92,6.83,30
94,10.34,30
94,15.68,30
95,4.99,30
96,11.01,30
97,10.12,30
98,6.83,30
98,4.67,30
99,15.96,30
99,8.64,30
100,7.54,30
10,3.65,30
7,2.51,30
5,4.85,30
3,1.63,30
1,23.43,30
61,3.15,30
82,9.35,30
82,14.48,30
97,9.27,30
80,2.12,30
81,11.36,30
62,1.88,30
62,1.95,30
63,2.44,30
63,1.88,30
64,6.34,30
65,4.99,30
66,10.02,30
66,23.01,30
67,13.504999999999999,30
62,7.93,30
69,13.504999999999999,30
70,13.504999999999999,30
70,13.504999999999999,30
65,16.0,30
72,5.63,30
73,3.5,30
73,2.9,30
74,9.56,30
74,11.68,30
75,4.39,30
75,3.4,30
80,2.73,30
76,13.31,30
76,14.09,30
78,11.04,30
79,8.57,30
72,5.88,30
87,13.504999999999999,31
86,13.504999999999999,31
31,4.11,31
85,25.49,31
88,10.37,31
31,4.18,31
85,13.504999999999999,31
88,13.504999999999999,31
91,39.19,31
89,5.91,31
90,5.98,31
90,7.15,31
91,35.33,31
92,17.98,31
92,12.64,31
33,13.06,31
89,5.91,31
33,17.95,31
37,6.83,31
78,59.47,31
34,6.73,31
62,7.75,31
35,5.45,31
36,6.3,31
36,7.96,31
36,6.41,31
37,8.57,31
84,15.58,31
33,14.05,31
83,8.64,31
82,8.42,31
82,10.09,31
81,8.99,31
81,11.01,31
80,13.504999999999999,31
80,37.56,31
79,20.57,31
79,30.73,31
83,8.25,31
62,9.84,31
96,21.24,31
63,10.02,31
100,30.16,31
98,14.3,31
98,11.22,31
97,11.96,31
34,6.73,31
95,18.05,31
78,23.79,31
95,15.29,31
94,16.85,31
93,13.2,31
93,15.12,31
63,9.88,31
77,16.39,31
76,7.12,31
76,8.78,31
77,13.504999999999999,31
75,6.23,31
64,11.43,31
64,13.504999999999999,31
75,40.74,31
65,42.73,31
66,10.87,31
67,25.73,31
69,8.57,31
65,9.03,31
70,11.12,31
71,5.03,31
72,7.82,31
73,19.79,31
74,21.35,31
74,74.9,31
69,7.12,31
33,15.61,31
30,4.0,32
29,12.0,32
27,1.06,32
22,6.62,32
22,6.62,32
20,11.72,32
19,4.46,32
14,4.04,32
17,4.64,32
18,2.65,32
44,1.98,33
34,1.73,33
46,1.66,33
78,13.504999999999999,34
76,2.37,34
75,13.504999999999999,34
71,7.61,34
83,3.72,34
69,12.96,34
68,3.65,34
67,1.7,34
66,11.79,34
64,27.04,34
80,2.73,34
80,15.47,34
70,11.79,34
29,9.06,35
8,4.42,35
7,8.21,35
7,8.88,35
6,3.36,35
5,1.81,35
4,3.12,35
4,2.3,35
3,4.78,35
2,4.14,35
1,2.76,35
1,1.91,35
8,3.26,35
30,1.84,35
89,8.85,35
96,4.14,35
27,1.81,35
27,1.35,35
27,1.66,35
26,6.83,35
26,11.15,35
25,11.22,35
24,2.62,35
23,6.27,35
22,8.18,35
21,9.84,35
20,9.63,35
19,2.48,35
19,2.51,35
93,2.44,35
18,1.95,35
17,2.16,35
16,2.83,35
16,2.19,35
15,10.8,35
14,3.68,35
13,5.91,35
12,7.75,35
12,6.97,35
11,4.71,35
11,8.39,35
9,2.97,35
9,5.38,35
98,9.49,35
18,2.23,35
17,2.3,35
13,7.15,35
16,14.8,35
20,3.93,35
19,9.27,35
19,9.66,35
18,5.81,35
17,16.88,35
17,19.65,35
16,12.14,35
15,9.59,35
15,9.56,35
14,12.39,35
14,11.33,35
13,15.72,35
12,8.53,35
13,17.27,35
9,6.23,35
1,15.47,35
1,13.27,35
2,7.08,35
2,4.96,35
9,5.56,35
3,17.81,35
4,9.98,35
2,5.88,35
4,8.21,35
5,14.27,35
5,8.28,35
7,8.74,35
8,15.08,35
53,8.81,36
49,3.61,36
51,12.64,36
52,10.55,36
53,13.95,36
49,3.58,36
54,8.64,36
37,1.95,36
56,6.94,36
57,5.13,36
58,10.12,36
58,6.19,36
60,8.04,36
31,2.41,36
48,6.19,36
55,4.28,36
48,8.78,36
33,12.32,36
46,12.5,36
32,16.18,36
50,6.83,36
33,7.4,36
34,5.81,36
35,11.61,36
36,12.6,36
47,11.01,36
38,6.12,36
40,5.27,36
41,10.8,36
44,10.83,36
44,5.66,36
45,9.1,36
45,7.15,36
40,5.06,36
49,11.19,36
31,3.82,36
48,14.27,36
46,23.26,36
44,10.8,36
44,10.65,36
44,25.35,36
43,11.43,36
43,12.14,36
42,9.06,36
41,8.88,36
40,9.49,36
39,10.3,36
38,11.86,36
37,20.64,36
37,22.3,36
34,9.45,36
33,12.67,36
32,16.99,36
25,19.58,36
21,7.01,36
47,12.71,36
21,5.95,36
22,23.47,36
23,22.48,36
24,12.99,36
24,10.69,36
49,13.35,36
26,9.38,36
26,7.72,36
27,9.95,36
27,7.82,36
29,20.96,36
29,21.1,36
31,15.89,36
32,15.29,36
61,2.34,37
64,4.6,37
64,2.87,37
100,17.17,37
98,22.65,37
96,7.47,37
96,6.41,37
95,13.27,37
94,12.11,37
93,11.82,37
92,9.35,37
91,8.57,37
90,3.72,37
90,4.74,37
88,5.98,37
88,7.22,37
87,20.78,37
86,7.12,37
85,3.15,37
85,6.62,37
67,1.84,37
67,2.41,37
68,4.32,37
69,11.61,37
69,6.19,37
71,3.75,37
61,2.3,37
72,3.54,37
73,7.61,37
75,4.42,37
76,12.07,37
78,12.39,37
79,5.88,37
83,1.59,37
73,7.12,37
99,5.13,37
65,3.54,37
65,11.96,37
70,6.87,37
69,22.19,37
68,6.94,37
67,9.98,37
67,19.36,37
65,10.16,37
64,10.97,37
63,24.78,37
62,8.39,37
60,2.94,37
59,12.14,37
58,11.29,37
59,10.58,37
56,23.54,37
57,6.73,37
51,27.96,37
52,19.89,37
51,22.19,37
53,14.65,37
54,13.504999999999999,37
52,14.37,37
89,9.38,38
92,15.22,38
88,29.38,38
88,22.8,38
87,8.53,38
86,33.73,38
86,26.9,38
89,6.41,38
91,32.92,38
92,12.07,38
80,21.24,38
94,13.95,38
95,11.58,38
95,10.34,38
85,14.12,38
96,14.8,38
96,15.65,38
97,8.07,38
97,8.39,38
99,15.19,38
93,20.96,38
85,18.51,38
77,12.6,38
84,21.42,38
71,5.77,38
72,8.28,38
73,14.8,38
74,15.58,38
84,21.95,38
99,15.15,38
