,heightOfTheFlowerTruss,passdays
18962,26.37,7
17539,38.09,7
17540,19.54,7
17541,17.84,7
17542,28.99,7
17543,16.71,7
17544,21.42,7
17545,21.98,7
17546,24.39,7
17547,21.98,7
17548,43.5,7
17549,17.7,7
17550,18.41,7
17551,31.36,7
17552,21.38,7
17553,25.91,7
17554,14.23,7
17555,35.4,7
18992,22.16,7
18991,13.504999999999999,7
18990,24.53,7
18989,13.504999999999999,7
18988,2.44,7
18987,13.504999999999999,7
17538,29.59,7
18986,4.0,7
18984,13.504999999999999,7
18983,13.504999999999999,7
18982,13.504999999999999,7
17558,16.57,7
17557,13.84,7
17556,16.67,7
18985,13.504999999999999,7
17537,31.4,7
17536,20.14,7
18972,4.88,7
18964,4.6,7
18965,2.34,7
18966,2.09,7
18967,13.504999999999999,7
18968,1.95,7
18969,2.41,7
18970,3.12,7
18971,2.8,7
18973,7.89,7
18974,1.77,7
18975,2.41,7
18976,2.41,7
18963,25.24,7
18978,13.504999999999999,7
18979,13.504999999999999,7
18980,13.504999999999999,7
18981,2.16,7
18977,2.55,7
17533,18.97,8
17532,21.98,8
17531,34.87,8
17530,20.99,8
17529,22.19,8
17535,27.5,8
17534,29.56,8
17528,28.64,8
20753,28.74,9
20752,26.65,9
20751,23.68,9
20756,18.12,9
20757,30.65,9
20750,21.35,9
20749,13.504999999999999,9
20758,29.2,9
20746,32.99,9
20748,6.23,9
20747,38.83,9
20754,35.47,9
20755,8.81,9
20764,22.83,10
20766,21.88,10
20765,27.72,10
20763,22.76,10
20762,26.83,10
20761,34.12,10
20767,37.03,10
20768,36.11,10
20769,40.88,10
20770,33.66,10
20771,16.42,10
20773,24.99,10
20774,13.504999999999999,10
20772,31.5,10
20776,1.81,10
20759,32.64,10
20760,28.21,10
20785,15.68,10
20775,36.14,10
20783,24.64,10
20782,24.71,10
20784,15.93,10
20780,3.36,10
20779,22.23,10
20778,16.64,10
20777,18.69,10
20781,9.1,10
20877,33.84,11
20881,18.02,11
20878,20.6,11
20879,20.67,11
20880,18.19,11
20882,14.34,11
20890,12.57,11
20884,5.49,11
20896,9.63,11
20895,27.19,11
20894,14.19,11
20883,35.75,11
20892,28.64,11
20891,37.49,11
20893,16.71,11
20889,13.98,11
20888,23.68,11
20887,13.504999999999999,11
20886,20.74,11
20885,13.06,11
20809,38.44,16
20808,44.99,16
20807,19.93,16
20788,33.56,16
20155,5.17,16
20156,1.88,16
20157,2.58,16
20814,17.17,16
20159,4.46,16
20787,13.504999999999999,16
20786,25.06,16
20790,26.16,16
20791,13.504999999999999,16
20792,42.02,16
20793,13.504999999999999,16
20794,13.504999999999999,16
20795,20.88,16
20796,20.96,16
20797,22.83,16
20798,13.504999999999999,16
20799,35.5,16
20158,1.91,16
20800,22.87,16
20802,20.99,16
20803,20.78,16
20804,38.19,16
20805,39.79,16
20806,21.38,16
20810,26.97,16
20815,18.51,16
20164,6.09,16
20163,5.84,16
20162,1.84,16
20161,1.88,16
20160,2.05,16
20801,21.59,16
20811,22.97,16
20789,13.504999999999999,16
20813,13.504999999999999,16
20821,42.94,16
20822,38.3,16
20823,20.0,16
20812,16.6,16
20819,19.29,16
20818,26.9,16
20820,19.79,16
20816,26.94,16
20824,25.24,16
20825,10.3,16
20817,26.48,16
20831,16.88,17
20833,27.79,17
20834,25.31,17
20835,30.37,17
20836,31.04,17
20837,31.82,17
20830,20.39,17
20832,23.79,17
20839,31.04,17
20829,36.11,17
20840,31.33,17
20841,19.47,17
20842,16.35,17
20843,15.33,17
20844,16.42,17
20845,31.22,17
20853,29.95,17
20852,23.54,17
20851,30.65,17
20850,16.57,17
20849,16.74,17
20848,24.5,17
20838,39.43,17
20828,32.11,17
20854,27.15,17
20826,28.88,17
20876,17.7,17
20875,13.504999999999999,17
20874,25.27,17
20873,19.22,17
20872,18.02,17
20871,25.63,17
20870,26.69,17
20869,28.11,17
20868,34.55,17
20867,22.23,17
20866,17.98,17
20865,18.34,17
20864,27.29,17
20863,26.87,17
20862,29.49,17
20861,18.37,17
20860,18.9,17
20859,29.35,17
20858,32.46,17
20857,28.53,17
20856,15.82,17
20855,31.89,17
20847,25.56,17
20827,35.68,17
20846,28.28,17
20193,1.88,18
20199,2.41,18
20980,13.504999999999999,18
20984,21.2,18
20985,13.504999999999999,18
20988,15.04,18
20989,13.504999999999999,18
20992,27.04,18
20993,13.504999999999999,18
20996,13.504999999999999,18
20178,4.07,18
20179,1.98,18
20180,1.98,18
20181,1.7,18
20182,1.84,18
20200,3.29,18
20183,2.05,18
20185,1.91,18
20186,3.79,18
20187,1.84,18
20188,1.13,18
20189,1.59,18
20190,2.55,18
20191,3.29,18
20192,3.01,18
20194,1.88,18
20195,7.93,18
20196,21.03,18
20197,21.35,18
20198,2.9,18
20184,2.02,18
20978,29.24,18
20204,25.84,19
20216,31.04,19
20217,31.04,19
20229,4.07,19
20228,4.04,19
20226,2.83,19
20225,7.58,19
20224,3.12,19
20223,1.73,19
20222,2.97,19
20221,13.81,19
20220,10.83,19
20219,13.504999999999999,19
20218,8.0,19
20201,16.35,19
20227,1.42,19
20203,8.99,19
20202,15.86,19
20214,13.31,19
20213,14.19,19
20211,13.504999999999999,19
20210,10.23,19
20209,10.16,19
20208,13.504999999999999,19
20212,6.48,19
20206,13.504999999999999,19
20205,9.1,19
20215,14.05,19
20207,10.09,19
20269,5.31,20
20268,5.06,20
20259,2.3,20
20267,5.03,20
20266,19.54,20
20264,19.61,20
20263,5.17,20
20260,3.54,20
20261,2.34,20
20262,13.504999999999999,20
20270,6.94,20
20265,11.4,20
20271,7.08,20
20277,7.5,20
20273,7.12,20
20274,4.71,20
20275,4.88,20
20276,4.71,20
20278,2.62,20
20279,3.33,20
20280,3.47,20
20281,8.28,20
20282,8.28,20
20258,13.504999999999999,20
20286,21.81,20
20283,8.67,20
20284,17.45,20
20285,21.81,20
20272,6.87,20
20257,3.93,20
20251,2.73,20
20255,2.9,20
20230,1.77,20
20256,13.504999999999999,20
20232,3.72,20
20233,24.81,20
20234,11.08,20
20235,4.35,20
20236,6.12,20
20237,4.35,20
20238,6.37,20
20239,5.7,20
20240,6.76,20
20241,6.73,20
20231,1.77,20
20243,26.09,20
20242,26.19,20
20253,2.73,20
20252,3.01,20
20250,3.15,20
20249,3.08,20
20254,3.04,20
20247,2.94,20
20246,10.05,20
20245,7.65,20
20244,10.05,20
20248,2.05,20
20294,2.37,21
20301,2.23,21
20300,14.27,21
20299,23.75,21
20298,11.47,21
20297,27.43,21
20296,1.77,21
20295,1.63,21
20293,2.58,21
20288,3.01,21
20291,5.73,21
20290,3.4,21
20289,2.87,21
20304,1.73,21
20287,2.27,21
20303,22.58,21
20307,2.3,21
20306,2.09,21
20305,2.16,21
20292,2.37,21
20302,1.7,21
20309,5.73,21
20308,6.51,21
19014,31.58,21
19013,6.76,21
19012,11.26,21
19011,4.85,21
19010,1.88,21
19009,24.85,21
19007,2.97,21
19006,6.73,21
19004,13.56,21
19003,12.32,21
19005,6.87,21
19001,2.3,21
19000,19.93,21
18999,5.52,21
18998,11.79,21
18997,22.44,21
18996,19.01,21
18995,9.91,21
18994,18.65,21
18993,5.88,21
19002,2.09,21
19031,3.96,22
19027,20.85,22
19028,1.63,22
19029,20.04,22
19032,3.82,22
19030,7.19,22
19034,2.37,22
19035,6.44,22
19036,4.35,22
19026,11.65,22
19033,13.66,22
19025,5.52,22
19021,10.37,22
19023,7.43,22
19022,6.48,22
19020,12.64,22
19019,9.95,22
19018,14.09,22
19017,1.03,22
19016,27.68,22
19015,5.27,22
19024,1.84,22
19054,14.94,23
19055,13.73,23
19056,18.41,23
19057,7.65,23
19058,13.45,23
19059,6.23,23
19060,4.53,23
19065,9.66,23
19062,13.63,23
19063,13.45,23
19064,8.11,23
19066,9.13,23
19068,7.86,23
19067,8.5,23
19053,12.28,23
19061,5.1,23
19052,13.03,23
20898,13.504999999999999,23
19050,19.47,23
19008,13.42,23
19069,2.94,23
19037,24.32,23
19038,23.79,23
19039,20.04,23
19040,21.98,23
19041,5.84,23
19042,3.15,23
19043,39.15,23
19044,30.9,23
19045,16.85,23
19046,11.79,23
19047,11.12,23
19048,15.54,23
19049,14.9,23
19051,5.31,23
19070,23.29,23
19071,16.0,23
19072,6.09,23
20920,13.504999999999999,23
20921,13.504999999999999,23
20922,22.3,23
20923,36.04,23
20924,36.46,23
20925,17.88,23
20926,43.54,23
20919,14.34,23
20927,48.5,23
20929,20.78,23
20930,13.504999999999999,23
20931,12.53,23
20932,13.504999999999999,23
20933,19.93,23
20934,13.504999999999999,23
20935,30.94,23
20928,38.12,23
20936,30.44,23
20918,21.63,23
20916,13.504999999999999,23
20899,17.49,23
20900,13.504999999999999,23
20901,13.504999999999999,23
20902,32.0,23
20903,24.53,23
20904,36.42,23
20905,13.504999999999999,23
20917,28.78,23
20906,30.58,23
20908,12.67,23
20909,15.86,23
20910,13.504999999999999,23
20911,14.97,23
20912,13.504999999999999,23
20913,36.74,23
20915,13.504999999999999,23
20907,41.81,23
20897,21.81,23
20937,29.73,23
20939,35.58,23
19088,14.97,23
19087,7.65,23
19086,8.92,23
19085,24.04,23
19084,6.34,23
19083,6.97,23
19082,15.33,23
19089,17.35,23
19081,5.45,23
19079,4.28,23
19078,13.504999999999999,23
19077,3.47,23
19076,15.75,23
19075,14.16,23
19074,5.35,23
19073,18.69,23
19080,31.68,23
20938,31.89,23
19090,8.57,23
20165,18.05,23
20940,13.504999999999999,23
20941,16.6,23
20942,22.69,23
20943,46.19,23
20177,24.46,23
20176,24.42,23
20175,11.22,23
20174,11.26,23
20172,11.29,23
20171,2.55,23
20170,1.59,23
20169,1.52,23
20168,3.19,23
20167,33.63,23
20166,6.19,23
20173,11.29,23
20914,13.504999999999999,23
20998,20.11,24
20999,13.504999999999999,24
20971,53.35,24
20954,16.57,24
20955,13.504999999999999,24
20956,23.15,24
20979,24.11,24
20957,13.504999999999999,24
20958,37.77,24
20977,14.05,24
20959,43.33,24
20976,13.504999999999999,24
20960,39.61,24
20961,13.504999999999999,24
20962,25.73,24
20963,15.19,24
20964,13.504999999999999,24
20965,17.98,24
20966,46.02,24
20967,18.27,24
20968,37.42,24
20969,15.22,24
20953,33.59,24
20970,57.31,24
20952,13.504999999999999,24
20950,13.504999999999999,24
20973,23.65,24
20974,13.504999999999999,24
20975,16.88,24
20997,13.504999999999999,24
20944,20.39,24
20945,11.79,24
20995,17.91,24
20994,13.504999999999999,24
20991,15.36,24
20990,13.504999999999999,24
20987,12.42,24
20946,13.504999999999999,24
20986,32.53,24
20947,16.78,24
20983,13.504999999999999,24
20948,13.504999999999999,24
20949,18.94,24
20982,16.39,24
20981,13.504999999999999,24
20951,27.26,24
20972,22.3,24
20344,1.31,25
20345,25.06,25
20339,3.61,25
20340,6.9,25
20342,6.02,25
20335,4.96,25
20346,25.03,25
20347,17.52,25
20348,17.45,25
20349,1.7,25
20350,13.504999999999999,25
20351,9.7,25
20352,1.52,25
20337,31.47,25
20334,7.54,25
20332,1.95,25
20331,1.95,25
20328,4.6,25
20327,4.6,25
20325,16.18,25
20323,5.49,25
20315,5.38,25
20316,7.89,25
20318,9.49,25
20319,8.42,25
20320,13.95,25
20333,10.34,25
20336,4.92,25
20358,13.56,26
20353,22.12,26
20354,12.64,26
20355,3.89,26
20368,3.04,26
20367,12.42,26
20366,9.03,26
20365,3.15,26
20364,5.84,26
20363,6.8,26
20362,18.09,26
20361,17.42,26
20360,7.75,26
20359,5.2,26
20357,27.4,26
20356,10.16,26
20383,15.12,27
20370,3.36,27
20381,4.25,27
20380,1.88,27
20379,23.68,27
20378,25.38,27
20377,12.18,27
20376,6.3,27
20375,5.77,27
20374,13.504999999999999,27
20373,1.45,27
20372,5.27,27
20371,3.61,27
20384,11.79,27
20369,12.99,27
20382,3.19,27
19119,12.25,28
19120,11.43,28
19121,4.07,28
19122,4.21,28
19123,15.04,28
19124,13.38,28
19125,15.75,28
19126,6.48,28
19127,4.85,28
19128,5.66,28
19105,12.67,28
19129,19.5,28
19099,6.09,28
19106,10.23,28
19107,5.95,28
19108,4.92,28
19109,7.72,28
19110,19.96,28
19111,9.52,28
19112,20.0,28
19113,9.52,28
19114,16.11,28
19115,3.47,28
19116,7.86,28
19117,8.64,28
19118,15.75,28
19103,10.48,28
19102,11.01,28
19091,3.33,28
19092,6.51,28
19093,6.62,28
19094,14.8,28
19095,22.41,28
19096,6.23,28
19097,7.26,28
19098,14.05,28
19104,12.28,28
19130,6.27,28
19101,6.69,28
20392,5.49,28
20385,1.17,28
20386,3.79,28
20387,1.56,28
20388,3.04,28
20389,1.73,28
20390,19.29,28
20391,12.21,28
20393,11.72,28
20394,13.66,28
20395,11.72,28
19100,6.65,28
19164,13.504999999999999,29
19144,13.504999999999999,29
19161,13.504999999999999,29
19165,25.52,29
19162,13.504999999999999,29
19166,9.81,29
19172,13.52,29
19168,13.504999999999999,29
19169,13.504999999999999,29
19174,19.36,29
19173,12.04,29
19160,13.504999999999999,29
19167,16.39,29
19159,13.504999999999999,29
19158,13.504999999999999,29
19157,5.81,29
19143,13.504999999999999,29
19142,1.56,29
19141,1.52,29
19140,12.0,29
19139,5.81,29
19138,6.12,29
19137,4.35,29
19136,17.7,29
19135,13.504999999999999,29
19134,7.33,29
19133,8.21,29
19145,13.504999999999999,29
19132,5.27,29
19146,7.82,29
19147,13.504999999999999,29
19148,7.82,29
19149,8.11,29
19150,13.504999999999999,29
19151,13.504999999999999,29
19152,13.504999999999999,29
19153,11.04,29
19154,2.37,29
19155,13.504999999999999,29
19156,12.21,29
19131,4.39,29
19163,6.94,29
17578,13.504999999999999,29
17593,16.99,29
17577,21.88,29
19171,3.33,29
17579,17.27,29
17580,3.96,29
17581,37.52,29
17582,9.45,29
17576,13.504999999999999,29
17583,18.83,29
17585,9.77,29
17586,5.35,29
17587,13.27,29
17588,6.05,29
17589,43.61,29
17590,44.18,29
17584,50.65,29
17591,12.28,29
17575,13.1,29
17573,29.84,29
17559,20.28,29
17560,12.92,29
17561,11.22,29
17562,35.12,29
17563,16.07,29
17564,23.22,29
17574,29.38,29
17565,38.16,29
17567,12.07,29
17568,11.12,29
17569,26.19,29
17570,24.71,29
17571,9.73,29
17572,17.13,29
17566,9.1,29
17592,10.65,29
19170,13.504999999999999,29
17594,13.504999999999999,29
17595,32.0,29
17596,13.24,29
17597,13.38,29
17629,6.94,30
17630,20.96,30
17631,24.35,30
17632,13.504999999999999,30
17633,29.45,30
17634,33.35,30
17636,13.66,30
17628,5.98,30
17637,16.99,30
17638,52.35,30
17639,6.9,30
17640,10.19,30
17641,49.35,30
17635,11.72,30
17627,10.97,30
17625,13.504999999999999,30
17643,8.92,30
17624,13.63,30
17623,24.64,30
17622,32.18,30
17621,10.16,30
17620,7.68,30
17619,44.96,30
17618,7.79,30
17617,13.27,30
17616,30.58,30
17615,26.27,30
17614,11.01,30
17613,4.74,30
17612,48.25,30
17626,12.46,30
17642,8.11,30
19201,13.95,30
19176,4.21,30
19209,5.24,30
19210,6.16,30
19211,16.67,30
19212,7.5,30
19213,4.96,30
19214,6.16,30
19215,4.92,30
19216,7.19,30
19217,6.05,30
19218,8.0,30
19219,6.83,30
19220,10.34,30
19221,15.68,30
19222,4.99,30
19223,11.01,30
19224,10.12,30
19226,6.83,30
19227,4.67,30
19228,15.96,30
19229,8.64,30
19230,7.54,30
20314,3.65,30
20313,2.51,30
20312,4.85,30
20311,1.63,30
20310,23.43,30
19175,3.15,30
19208,9.35,30
19207,14.48,30
19225,9.27,30
19205,2.12,30
19206,11.36,30
19178,1.88,30
19179,1.95,30
19180,2.44,30
19181,1.88,30
19182,6.34,30
19184,4.99,30
19185,10.02,30
19186,23.01,30
19187,13.504999999999999,30
19177,7.93,30
19188,13.504999999999999,30
19189,13.504999999999999,30
19190,13.504999999999999,30
19183,16.0,30
19192,5.63,30
19193,3.5,30
19194,2.9,30
19195,9.56,30
19196,11.68,30
19197,4.39,30
19198,3.4,30
19204,2.73,30
19199,13.31,30
19200,14.09,30
19202,11.04,30
19203,8.57,30
19191,5.88,30
17684,13.504999999999999,31
17683,13.504999999999999,31
17598,4.11,31
17681,25.49,31
17685,10.37,31
17599,4.18,31
17682,13.504999999999999,31
17686,13.504999999999999,31
17691,39.19,31
17688,5.91,31
17689,5.98,31
17690,7.15,31
17692,35.33,31
17693,17.98,31
17694,12.64,31
17600,13.06,31
17687,5.91,31
17601,17.95,31
17611,6.83,31
17669,59.47,31
17605,6.73,31
17644,7.75,31
17606,5.45,31
17607,6.3,31
17608,7.96,31
17609,6.41,31
17610,8.57,31
17680,15.58,31
17602,14.05,31
17679,8.64,31
17677,8.42,31
17676,10.09,31
17675,8.99,31
17674,11.01,31
17673,13.504999999999999,31
17672,37.56,31
17671,20.57,31
17670,30.73,31
17678,8.25,31
17645,9.84,31
17700,21.24,31
17647,10.02,31
17704,30.16,31
17703,14.3,31
17702,11.22,31
17701,11.96,31
17604,6.73,31
17699,18.05,31
17668,23.79,31
17698,15.29,31
17697,16.85,31
17696,13.2,31
17695,15.12,31
17646,9.88,31
17666,16.39,31
17665,7.12,31
17664,8.78,31
17667,13.504999999999999,31
17662,6.23,31
17648,11.43,31
17649,13.504999999999999,31
17663,40.74,31
17651,42.73,31
17652,10.87,31
17653,25.73,31
17654,8.57,31
17650,9.03,31
17656,11.12,31
17657,5.03,31
17658,7.82,31
17659,19.79,31
17660,21.35,31
17661,74.9,31
17655,7.12,31
17603,15.61,31
20343,4.0,32
20341,12.0,32
20338,1.06,32
20330,6.62,32
20329,6.62,32
20326,11.72,32
20324,4.46,32
20317,4.04,32
20321,4.64,32
20322,2.65,32
20397,1.98,33
20396,1.73,33
20398,1.66,33
20408,13.504999999999999,34
20407,2.37,34
20406,13.504999999999999,34
20405,7.61,34
20411,3.72,34
20403,12.96,34
20402,3.65,34
20401,1.7,34
20400,11.79,34
20399,27.04,34
20410,2.73,34
20409,15.47,34
20404,11.79,34
19272,9.06,35
19241,4.42,35
19240,8.21,35
19239,8.88,35
19238,3.36,35
19237,1.81,35
19236,3.12,35
19235,2.3,35
19234,4.78,35
19233,4.14,35
19232,2.76,35
19231,1.91,35
19242,3.26,35
19273,1.84,35
20412,8.85,35
20414,4.14,35
19271,1.81,35
19270,1.35,35
19269,1.66,35
19268,6.83,35
19267,11.15,35
19266,11.22,35
19265,2.62,35
19264,6.27,35
19263,8.18,35
19262,9.84,35
19261,9.63,35
19260,2.48,35
19259,2.51,35
20413,2.44,35
19258,1.95,35
19256,2.16,35
19254,2.83,35
19253,2.19,35
19252,10.8,35
19251,3.68,35
19250,5.91,35
19248,7.75,35
19247,6.97,35
19246,4.71,35
19245,8.39,35
19244,2.97,35
19243,5.38,35
20415,9.49,35
19257,2.23,35
19255,2.3,35
19249,7.15,35
17726,14.8,35
17733,3.93,35
17732,9.27,35
17731,9.66,35
17730,5.81,35
17729,16.88,35
17728,19.65,35
17727,12.14,35
17725,9.59,35
17724,9.56,35
17723,12.39,35
17722,11.33,35
17720,15.72,35
17719,8.53,35
17721,17.27,35
17717,6.23,35
17705,15.47,35
17706,13.27,35
17707,7.08,35
17708,4.96,35
17718,5.56,35
17710,17.81,35
17711,9.98,35
17709,5.88,35
17712,8.21,35
17713,14.27,35
17714,8.28,35
17715,8.74,35
17716,15.08,35
19300,8.81,36
19296,3.61,36
19297,12.64,36
19298,10.55,36
19299,13.95,36
19295,3.58,36
19301,8.64,36
19282,1.95,36
19303,6.94,36
19304,5.13,36
19305,10.12,36
19306,6.19,36
19307,8.04,36
19275,2.41,36
19294,6.19,36
19302,4.28,36
19293,8.78,36
19277,12.32,36
19291,12.5,36
19276,16.18,36
17769,6.83,36
19278,7.4,36
19279,5.81,36
19280,11.61,36
19281,12.6,36
19292,11.01,36
19283,6.12,36
19285,5.27,36
19286,10.8,36
19287,10.83,36
19288,5.66,36
19289,9.1,36
19290,7.15,36
19284,5.06,36
17768,11.19,36
19274,3.82,36
17766,14.27,36
17764,23.26,36
17763,10.8,36
17762,10.65,36
17761,25.35,36
17760,11.43,36
17759,12.14,36
17758,9.06,36
17757,8.88,36
17756,9.49,36
17755,10.3,36
17754,11.86,36
17753,20.64,36
17752,22.3,36
17751,9.45,36
17750,12.67,36
17749,16.99,36
17740,19.58,36
17734,7.01,36
17765,12.71,36
17735,5.95,36
17736,23.47,36
17737,22.48,36
17738,12.99,36
17739,10.69,36
17767,13.35,36
17741,9.38,36
17742,7.72,36
17743,9.95,36
17744,7.82,36
17745,20.96,36
17746,21.1,36
17747,15.89,36
17748,15.29,36
19308,2.34,37
19310,4.6,37
19311,2.87,37
19344,17.17,37
19342,22.65,37
19341,7.47,37
19340,6.41,37
19339,13.27,37
19338,12.11,37
19337,11.82,37
19336,9.35,37
19335,8.57,37
19334,3.72,37
19333,4.74,37
19332,5.98,37
19331,7.22,37
19330,20.78,37
19329,7.12,37
19328,3.15,37
19327,6.62,37
19313,1.84,37
19314,2.41,37
19315,4.32,37
19316,11.61,37
19317,6.19,37
19318,3.75,37
19309,2.3,37
19319,3.54,37
19321,7.61,37
19322,4.42,37
19323,12.07,37
19324,12.39,37
19325,5.88,37
19326,1.59,37
19320,7.12,37
19343,5.13,37
19312,3.54,37
17785,11.96,37
17791,6.87,37
17790,22.19,37
17789,6.94,37
17788,9.98,37
17787,19.36,37
17786,10.16,37
17784,10.97,37
17783,24.78,37
17782,8.39,37
17781,2.94,37
17780,12.14,37
17778,11.29,37
17779,10.58,37
17776,23.54,37
17777,6.73,37
17771,27.96,37
17772,19.89,37
17770,22.19,37
17774,14.65,37
17775,13.504999999999999,37
17773,14.37,37
17815,9.38,38
17818,15.22,38
17814,29.38,38
17813,22.8,38
17812,8.53,38
17811,33.73,38
17810,26.9,38
17816,6.41,38
17817,32.92,38
17819,12.07,38
17801,21.24,38
17821,13.95,38
17822,11.58,38
17823,10.34,38
17809,14.12,38
17824,14.8,38
17825,15.65,38
17826,8.07,38
17827,8.39,38
17828,15.19,38
17820,20.96,38
17808,18.51,38
17797,12.6,38
17806,21.42,38
