,heightOfTheFlowerTruss,passdays
18382,3.22,68
18371,32.71,68
18377,30.41,68
18376,13.504999999999999,68
18375,30.12,68
18374,15.89,68
18373,37.45,68
18372,32.11,68
18379,37.59,68
18264,22.02,68
18261,23.36,68
18395,23.79,69
18394,18.55,69
18398,13.06,69
18392,10.69,69
18396,24.6,69
18393,10.73,69
18397,13.504999999999999,69
18399,22.94,69
18403,13.73,69
18405,13.504999999999999,69
18406,25.95,69
18407,20.14,69
18401,16.64,69
18400,13.504999999999999,69
18402,17.66,69
18404,14.16,69
20604,13.504999999999999,70
20607,16.5,70
20608,13.504999999999999,70
20609,13.504999999999999,70
20610,13.504999999999999,70
20611,23.58,70
20612,13.504999999999999,70
20606,13.504999999999999,70
20605,4.74,70
20614,4.04,71
20613,13.504999999999999,71
20622,13.504999999999999,71
20619,5.45,71
20621,1.95,71
20615,9.95,71
20616,13.504999999999999,71
20617,13.504999999999999,71
20620,5.27,71
20618,8.28,71
18415,13.13,72
18416,19.5,72
18417,13.45,72
18425,13.504999999999999,72
18418,11.01,72
18419,10.76,72
18420,12.53,72
18422,13.504999999999999,72
18423,33.63,72
18424,13.504999999999999,72
18414,13.7,72
18413,13.504999999999999,72
20629,3.47,72
18411,8.99,72
18410,28.88,72
18409,13.504999999999999,72
18408,22.05,72
18428,41.35,72
18426,26.34,72
20628,2.3,72
20627,3.12,72
20626,3.15,72
20625,13.24,72
20624,4.28,72
20623,9.35,72
18412,33.84,72
18427,19.43,72
18429,32.67,72
18421,31.19,72
18438,19.36,72
18436,6.27,72
18435,13.504999999999999,72
18434,13.504999999999999,72
18437,13.504999999999999,72
18432,15.15,72
18431,28.6,72
18430,13.504999999999999,72
18433,25.03,72
20638,13.504999999999999,73
20633,9.31,73
20634,16.07,73
20635,13.504999999999999,73
20636,13.504999999999999,73
20637,4.57,73
20639,6.27,73
20644,3.33,73
20641,11.72,73
20642,2.87,73
20643,4.6,73
20632,6.83,73
20645,7.54,73
20646,7.58,73
20647,6.23,73
20640,31.5,73
20631,37.81,73
18452,10.44,73
18455,11.19,73
18439,12.64,73
18440,13.504999999999999,73
18441,11.22,73
18442,8.88,73
18443,19.4,73
18444,13.504999999999999,73
18445,13.504999999999999,73
20630,7.96,73
18446,13.504999999999999,73
18448,13.504999999999999,73
18449,16.25,73
18450,10.51,73
18451,8.0,73
20648,4.5,73
18453,13.504999999999999,73
18454,13.504999999999999,73
18447,44.71,73
20649,13.504999999999999,73
18456,13.504999999999999,73
20650,8.0,73
18480,5.06,73
18479,39.68,73
18478,37.66,73
18477,7.86,73
18476,37.38,73
18475,22.69,73
18474,21.49,73
18472,21.35,73
18471,47.72,73
18470,44.07,73
18469,22.97,73
18468,10.41,73
18467,18.23,73
18466,29.77,73
18473,42.76,73
18464,13.504999999999999,73
18465,33.06,73
20651,9.73,73
18458,38.09,73
18459,26.23,73
18457,33.27,73
18461,46.97,73
18462,19.86,73
18463,21.17,73
18460,37.13,73
18485,24.42,75
18491,20.71,75
18486,26.9,75
18487,30.3,75
18488,41.31,75
18489,32.0,75
18490,26.73,75
18492,20.81,75
18481,35.79,75
18482,14.73,75
20652,23.4,75
20653,5.17,75
18483,14.34,75
18484,28.67,75
18495,24.5,76
18494,44.71,76
18493,47.61,76
18497,22.02,76
20654,1.88,76
20655,13.504999999999999,76
20656,29.35,76
18496,37.66,76
19761,35.58,77
19726,10.41,77
19749,13.504999999999999,77
19750,34.37,77
19752,24.67,77
19725,6.12,77
19754,23.36,77
19755,10.12,77
19756,8.96,77
19757,4.14,77
19748,40.85,77
19758,5.24,77
19760,16.11,77
19762,33.91,77
19763,32.6,77
19764,25.24,77
19765,13.49,77
19766,14.44,77
19767,14.83,77
19768,25.63,77
19759,8.46,77
19747,37.42,77
19753,20.96,77
19745,31.65,77
19727,12.35,77
19728,13.38,77
19729,11.29,77
19746,36.25,77
19731,13.03,77
19732,10.83,77
19733,7.82,77
19734,8.6,77
19735,10.87,77
19730,6.65,77
19737,8.11,77
19736,3.26,77
19744,40.67,77
19743,15.15,77
19742,14.34,77
19751,27.29,77
19740,23.4,77
19739,17.98,77
19738,18.87,77
19741,24.25,77
20657,13.504999999999999,78
20658,1.42,78
20660,13.504999999999999,78
20661,6.83,78
20662,4.25,78
20663,13.504999999999999,78
20664,13.504999999999999,78
20665,13.504999999999999,78
20666,7.29,78
20667,1.27,78
20659,4.99,78
18504,20.11,78
18506,19.08,78
18513,34.12,78
18512,13.504999999999999,78
18511,21.81,78
18510,28.07,78
18509,35.19,78
18508,13.84,78
18507,38.05,78
18519,39.58,78
18505,34.58,78
18517,44.25,78
18516,32.07,78
18515,24.39,78
18520,30.37,78
18503,26.12,78
18498,28.6,78
18499,17.73,78
18500,20.5,78
18501,26.41,78
18502,29.7,78
18514,18.44,78
18518,15.22,78
19791,39.12,79
19790,35.5,79
19789,15.26,79
19788,21.45,79
19782,12.53,79
19792,5.24,79
19793,5.1,79
19794,1.95,79
19795,12.25,79
19796,11.22,79
19787,22.05,79
19786,4.6,79
19778,10.9,79
19784,16.64,79
19769,8.92,79
19770,6.83,79
19771,8.14,79
19772,9.13,79
19773,13.63,79
19774,19.79,79
19775,9.52,79
19776,15.29,79
19777,16.6,79
19797,15.72,79
19779,11.5,79
19780,11.01,79
19781,13.98,79
19848,13.31,79
19783,10.55,79
19785,17.06,79
19798,15.22,79
19802,13.52,79
19800,10.9,79
19826,7.72,79
19827,18.34,79
19828,16.78,79
19829,8.6,79
19830,9.35,79
19831,5.91,79
19832,8.6,79
19833,11.96,79
19834,11.96,79
19825,7.65,79
19835,13.31,79
19837,8.53,79
19838,7.22,79
19839,15.5,79
19840,14.94,79
19841,6.12,79
19842,6.16,79
19843,7.58,79
19844,5.95,79
19845,7.19,79
19836,7.15,79
19824,19.26,79
19823,5.1,79
19822,3.36,79
19801,8.04,79
19849,12.71,79
19803,11.58,79
19804,18.55,79
19805,20.92,79
19806,28.85,79
19807,8.28,79
19808,11.22,79
19809,10.87,79
19810,9.91,79
19811,6.55,79
19812,19.5,79
19813,10.48,79
19814,11.36,79
19815,2.44,79
19816,31.82,79
19817,5.95,79
19818,16.35,79
19819,15.36,79
19820,20.07,79
19821,3.89,79
19799,12.28,79
19850,12.71,79
19858,6.02,79
19852,11.12,79
19867,14.41,79
18527,29.17,79
18526,35.19,79
18525,18.37,79
18524,33.95,79
18523,16.78,79
18522,40.81,79
18521,36.64,79
19851,12.35,79
20673,8.85,79
20672,4.57,79
20671,9.38,79
20670,2.97,79
20669,4.25,79
19847,16.85,79
19866,37.98,79
19853,12.99,79
19854,13.1,79
20668,2.48,79
19856,21.31,79
19857,5.31,79
19846,18.51,79
19859,4.46,79
19860,5.17,79
19861,27.65,79
19855,11.43,79
19865,37.17,79
19862,20.71,79
19863,15.22,79
19864,46.02,79
18532,10.73,81
18528,22.76,81
18529,6.23,81
18530,19.72,81
18531,13.49,81
18533,9.7,81
18534,3.89,81
18535,30.8,81
18536,35.68,81
18537,28.88,81
18538,3.47,81
20675,4.85,82
20674,12.28,82
20679,4.07,82
20676,28.88,82
20680,9.59,82
20681,2.8,82
20678,6.27,82
20682,13.504999999999999,82
20683,13.504999999999999,82
20684,13.504999999999999,82
20685,10.23,82
20677,29.88,82
20697,3.54,83
18546,30.58,83
18547,28.32,83
18548,29.24,83
18550,17.06,83
18551,19.79,83
18552,13.504999999999999,83
18553,22.16,83
18554,21.91,83
18555,38.65,83
18556,44.67,83
18557,13.63,83
18549,20.07,83
18545,9.06,83
18542,35.4,83
18543,7.33,83
20696,1.35,83
20694,1.66,83
20693,1.49,83
20692,6.41,83
20691,9.49,83
18544,23.93,83
20690,6.09,83
20688,3.4,83
20687,1.59,83
20686,38.3,83
18539,22.37,83
18540,21.91,83
18541,16.18,83
20689,4.71,83
20695,6.9,83
18560,42.37,84
18561,30.44,84
18563,44.85,84
18562,29.49,84
18564,31.29,84
18565,25.81,84
18566,13.504999999999999,84
18567,26.02,84
18568,28.92,84
18569,23.33,84
18558,22.3,84
18559,34.8,84
19890,10.83,85
19889,8.42,85
19888,12.5,85
19887,12.18,85
19886,10.97,85
19885,18.41,85
19892,16.6,85
19884,6.55,85
19891,10.58,85
19893,7.79,85
18579,18.23,85
19883,6.41,85
19895,21.56,85
19896,12.5,85
19897,21.63,85
19898,6.65,85
19899,43.72,85
19900,49.95,85
19901,25.03,85
19902,20.04,85
19903,8.81,85
19894,4.14,85
19882,27.61,85
19877,22.05,85
19880,9.49,85
18578,39.86,85
18577,39.36,85
18576,42.83,85
18575,41.35,85
18574,15.93,85
18573,11.61,85
18572,16.92,85
18571,18.3,85
18570,23.75,85
19868,29.88,85
19869,13.504999999999999,85
19870,4.96,85
19871,7.29,85
19872,6.9,85
19873,7.22,85
19874,2.51,85
19875,30.76,85
19876,31.33,85
19904,28.64,85
19878,23.26,85
19879,19.58,85
19881,26.3,85
19905,25.66,85
19920,7.82,85
19907,27.33,85
19933,28.99,85
19934,17.06,85
19935,8.64,85
19936,11.26,85
19937,12.39,85
19938,13.504999999999999,85
19939,9.52,85
19940,7.5,85
18585,49.73,85
18584,24.71,85
18583,17.63,85
18582,7.82,85
18581,21.63,85
18580,40.74,85
19906,5.56,85
20698,17.24,85
20699,13.504999999999999,85
20700,23.26,85
20701,13.504999999999999,85
20702,13.504999999999999,85
19931,4.53,85
19932,37.38,85
19929,23.36,85
19908,2.83,85
19909,6.37,85
19910,6.34,85
19911,6.94,85
19912,3.5,85
19913,3.08,85
19914,4.25,85
19915,24.5,85
19916,20.57,85
19930,5.88,85
19918,19.19,85
19917,7.5,85
19919,16.81,85
19921,0.21,85
19922,2.9,85
19923,2.9,85
19924,11.04,85
19925,12.25,85
19926,10.73,85
19927,14.44,85
19928,15.4,85
18587,29.77,86
18590,15.15,86
18591,16.18,86
18586,20.67,86
18588,10.97,86
18589,16.0,86
19959,2.41,87
20714,6.05,87
20713,13.59,87
20712,4.11,87
20711,18.76,87
20710,13.504999999999999,87
19958,2.48,87
20708,35.65,87
20707,7.19,87
20706,15.12,87
20705,13.504999999999999,87
20704,3.01,87
20703,3.65,87
19956,12.78,87
20715,4.42,87
19955,13.24,87
19953,18.16,87
19952,36.25,87
19951,54.27,87
19950,29.84,87
19949,30.27,87
19948,28.28,87
19947,24.42,87
19946,23.5,87
19945,20.18,87
19944,7.72,87
19943,8.25,87
19942,6.27,87
19941,27.12,87
19954,18.83,87
20716,13.504999999999999,87
20709,13.504999999999999,87
19979,26.62,87
19969,6.19,87
19968,22.23,87
19967,6.51,87
19966,17.2,87
19965,13.504999999999999,87
19964,41.98,87
19963,21.17,87
19970,32.04,87
19971,36.5,87
19972,19.26,87
19973,11.89,87
19974,30.05,87
19975,32.53,87
19977,8.5,87
19978,15.43,87
19976,6.87,87
19980,21.49,87
19961,10.48,87
19962,21.38,87
19957,27.89,87
19989,4.67,87
19988,23.96,87
19960,12.28,87
19987,18.48,87
19985,15.54,87
19984,11.43,87
19983,25.7,87
19982,7.33,87
19981,7.08,87
19986,11.19,87
18595,28.28,90
18596,47.86,90
18594,55.89,90
20717,18.62,90
18592,68.78,90
18597,40.07,90
18593,47.86,90
20718,3.82,91
18598,10.94,92
18610,23.89,92
18600,28.46,92
20720,10.62,92
20719,17.84,92
18613,18.9,92
18612,27.93,92
18611,21.13,92
18599,42.76,92
18608,41.1,92
18609,34.51,92
18606,38.44,92
18605,27.29,92
18604,24.74,92
18603,41.66,92
18602,34.94,92
18601,52.25,92
18607,34.87,92
20723,12.35,93
20721,6.65,93
20722,5.91,93
20016,16.99,93
20039,14.16,93
20013,19.26,93
20012,11.82,93
20011,17.59,93
20010,6.05,93
20009,21.77,93
20008,10.73,93
20007,8.39,93
20040,13.59,93
20005,8.92,93
20004,6.48,93
20003,7.29,93
20014,8.5,93
20002,9.49,93
20000,9.2,93
19999,6.12,93
19998,5.2,93
19997,22.55,93
19996,8.14,93
19995,17.98,93
19994,11.68,93
19993,16.21,93
19992,21.03,93
19991,17.63,93
19990,17.56,93
20001,8.32,93
20015,9.24,93
20006,7.01,93
20036,6.87,93
20038,11.22,93
20037,5.38,93
20035,6.37,93
20034,11.08,93
20033,6.9,93
20032,12.04,93
20030,7.33,93
20029,3.75,93
20028,25.42,93
20027,12.11,93
20031,7.79,93
20025,15.58,93
20024,14.69,93
20023,15.54,93
20022,17.03,93
20021,10.27,93
20020,32.18,93
20019,25.77,93
20018,23.22,93
20026,10.73,93
20017,20.92,93
18627,22.3,94
18626,12.71,94
18625,25.27,94
18624,43.58,94
18621,45.45,94
18622,34.09,94
18619,50.02,94
18620,36.6,94
18628,33.45,94
18623,39.96,94
18629,27.26,94
18615,46.51,94
18631,28.42,94
18632,33.42,94
18633,42.12,94
18634,29.63,94
18635,35.04,94
18636,35.43,94
18637,29.49,94
18616,44.57,94
20044,3.29,94
18614,23.54,94
18630,50.87,94
20045,13.66,94
18617,40.11,94
20103,2.58,94
20082,21.13,94
20081,15.61,94
20080,6.34,94
20079,19.33,94
20078,14.23,94
20077,12.64,94
20076,12.07,94
20075,2.87,94
20074,16.42,94
20073,21.03,94
20072,15.65,94
20071,17.81,94
20070,8.81,94
20069,21.95,94
20068,12.96,94
20083,8.92,94
20084,8.88,94
20085,10.62,94
20086,9.42,94
20102,11.22,94
20101,20.14,94
20100,19.08,94
20099,8.46,94
20098,11.61,94
20097,9.42,94
20096,17.63,94
20067,15.65,94
20095,13.59,94
20093,7.01,94
20092,8.04,94
20091,6.9,94
20090,5.17,94
20089,6.09,94
20088,4.92,94
20087,8.64,94
20094,19.04,94
20104,2.55,94
20066,15.61,94
20061,19.01,94
20058,6.69,94
20059,4.18,94
20060,6.16,94
20065,7.22,94
20041,10.44,94
20042,15.08,94
20043,19.86,94
20062,20.71,94
20063,12.78,94
20064,15.58,94
20057,6.8,94
20055,7.4,94
20053,6.44,94
20052,16.53,94
20051,11.01,94
20050,7.12,94
20049,8.46,94
20048,12.74,94
20047,13.1,94
18618,37.77,94
20046,11.89,94
20054,6.97,94
20056,7.72,94
18639,42.09,95
18654,28.6,95
18643,14.83,95
18644,15.36,95
18645,13.88,95
18646,44.67,95
18647,3.4,95
18648,34.73,95
18649,25.91,95
18650,12.64,95
18651,11.43,95
18652,12.32,95
18653,23.47,95
18642,23.26,95
18641,28.11,95
18640,24.5,95
18638,35.82,95
20726,3.89,96
20725,4.18,96
20724,16.5,96
20727,9.59,96
18668,40.99,97
20728,5.13,97
20729,19.68,97
20730,9.1,97
18671,28.57,97
18670,26.65,97
18669,29.88,97
18667,19.43,97
18666,16.6,97
18664,48.21,97
18663,35.68,97
18662,34.87,97
18661,39.4,97
18660,42.02,97
18659,37.84,97
18658,26.87,97
18657,32.35,97
18656,33.35,97
18655,29.59,97
18665,35.72,97
20731,2.58,98
18687,46.51,99
18688,55.89,99
18679,44.32,99
18686,43.68,99
18689,45.27,99
18685,22.27,99
18677,35.43,99
18683,27.89,99
18682,24.32,99
18681,42.8,99
18680,58.9,99
18675,11.93,99
18676,40.07,99
18678,39.43,99
18684,60.96,99
18696,59.4,101
18694,20.35,101
18693,45.42,101
18692,53.38,101
18691,33.2,101
18690,28.35,101
18695,15.86,101
20734,7.89,102
20733,8.0,102
18704,49.77,102
18709,33.42,102
20732,8.11,102
18708,29.1,102
18701,40.32,102
18706,43.29,102
18705,18.62,102
18703,18.9,102
18702,20.78,102
18700,35.54,102
18707,38.3,102
18699,36.0,102
18698,38.9,102
18697,32.78,102
18674,38.58,102
18673,34.9,102
18672,12.28,102
18721,21.31,106
18720,18.62,106
18719,18.27,106
18718,43.82,106
18717,37.98,106
18716,30.9,106
18715,40.81,106
18714,9.24,106
18713,42.58,106
18712,30.83,106
18711,27.72,106
18710,37.77,106
20735,19.22,107
20736,9.73,108
18730,70.05,108
18728,31.26,108
18727,37.88,108
18726,24.6,108
18725,30.73,108
18731,39.79,108
18732,48.85,108
18733,36.5,108
18724,25.56,108
18723,13.504999999999999,108
18722,29.2,108
18729,21.13,108
20123,26.69,109
20125,22.02,109
20124,26.05,109
20126,11.93,109
20128,27.47,109
20129,25.81,109
20130,3.19,109
20131,4.88,109
20122,8.04,109
20127,23.93,109
20121,14.97,109
20114,10.73,109
20118,26.69,109
18736,13.504999999999999,109
18735,32.14,109
18734,21.95,109
20120,12.71,109
20119,2.16,109
20117,13.73,109
20116,26.3,109
18737,26.55,109
20105,30.02,109
20107,14.48,109
20108,15.12,109
20109,17.49,109
20110,17.88,109
20111,16.64,109
20112,14.44,109
20113,4.39,109
20106,10.37,109
18738,9.17,109
18739,15.61,109
18740,14.83,109
18747,31.5,109
18746,23.89,109
18745,37.98,109
20115,20.21,109
18743,18.3,109
18742,34.09,109
18741,34.41,109
18744,17.59,109
18748,42.23,111
20737,9.81,111
18751,46.9,111
18752,59.04,111
18753,42.55,111
18754,40.67,111
18755,48.46,111
18756,33.31,111
18757,38.58,111
18758,24.57,111
18750,61.91,111
18749,64.53,111
18770,17.24,113
18764,47.89,113
18765,22.41,113
18766,47.68,113
18767,40.6,113
18768,35.19,113
18769,31.15,113
18761,50.55,113
18771,56.57,113
18763,46.23,113
18762,35.65,113
18760,43.08,113
18759,57.59,113
18774,62.83,114
18775,30.12,114
18776,35.33,114
18777,43.33,114
18778,27.68,114
18779,40.14,114
18773,58.55,114
18772,21.06,114
18792,22.02,115
18780,22.05,115
18781,23.29,115
18793,20.14,115
18784,36.46,115
18783,45.63,115
20132,13.06,115
20135,10.12,115
20136,12.88,115
18782,13.95,115
20134,13.504999999999999,115
18785,51.72,115
20133,5.7,115
18787,33.84,115
18788,44.42,115
18789,25.24,115
18790,56.07,115
18791,24.39,115
18786,51.12,115
18795,36.57,116
18796,44.21,116
18797,29.52,116
18794,33.03,116
20142,9.31,116
18798,24.71,116
20140,9.7,116
20143,13.88,116
20144,7.47,116
20139,7.12,116
20146,3.93,116
20147,8.99,116
20148,5.66,116
20149,13.73,116
20150,8.57,116
18804,37.91,116
18803,41.59,116
18802,22.27,116
18801,23.86,116
18800,33.52,116
18799,35.12,116
20141,7.43,116
20145,13.504999999999999,116
18805,13.504999999999999,116
20138,14.51,116
20137,4.21,116
20742,1.81,118
20741,1.91,118
20740,5.27,118
20739,7.15,118
20738,1.63,118
18812,51.82,119
18811,23.29,119
18810,25.24,119
18806,30.51,119
18808,35.04,119
18807,38.94,119
20743,20.0,119
20744,12.88,119
18809,65.59,119
18828,61.38,121
18822,47.43,121
18823,42.55,121
18824,38.62,121
18825,47.68,121
18826,42.97,121
18827,41.31,121
18829,27.43,121
20745,4.14,121
18818,41.7,121
18817,44.92,121
18816,24.0,121
18815,32.57,121
18814,30.27,121
18813,45.17,121
18820,30.02,121
18819,30.97,121
18821,29.27,121
17522,45.63,122
17501,46.69,122
17521,35.22,122
17519,37.91,122
17518,61.81,122
17517,47.19,122
17516,24.5,122
17515,35.08,122
17514,33.77,122
17513,32.88,122
17512,39.86,122
17511,60.25,122
17510,32.57,122
17509,21.45,122
17508,28.14,122
17507,31.72,122
17506,52.21,122
17505,47.33,122
17504,36.5,122
17503,28.67,122
17502,49.63,122
17523,32.92,122
17520,34.62,122
17500,27.5,122
18831,22.62,122
18830,24.35,122
20154,7.43,122
20153,6.65,122
20152,6.16,122
20151,6.97,122
18854,18.48,122
18852,14.19,122
18851,13.13,122
18850,11.5,122
18849,47.68,122
18848,19.82,122
18847,18.69,122
18846,18.12,122
18853,13.81,122
18844,17.38,122
18832,26.19,122
18845,14.55,122
18833,28.42,122
18834,3.01,122
18836,13.504999999999999,122
18837,2.73,122
18835,3.43,122
18838,23.12,122
18839,13.98,122
18840,19.65,122
18841,12.0,122
18842,18.44,122
18843,15.22,122
18908,25.35,123
18912,8.14,123
18911,18.05,123
18910,14.83,123
18909,28.67,123
18913,7.93,123
18907,12.81,123
18900,14.05,123
18905,26.87,123
18904,19.29,123
18903,17.7,123
18902,31.68,123
18899,20.32,123
18914,4.18,123
18906,15.86,123
18915,3.96,123
17527,15.54,123
18917,10.58,123
17524,46.73,123
17525,14.34,123
17526,19.75,123
18898,10.41,123
18928,40.6,123
18927,33.66,123
18926,11.01,123
18925,7.5,123
18924,9.13,123
18923,10.69,123
18922,21.59,123
18921,17.66,123
18920,22.05,123
18919,19.22,123
18918,18.48,123
18916,9.66,123
18897,29.81,123
18901,30.65,123
18895,1.31,123
18871,31.86,123
18870,18.16,123
18869,15.33,123
18868,2.44,123
18867,2.69,123
18866,2.55,123
18865,20.11,123
18864,27.72,123
18872,17.49,123
18863,23.82,123
18862,19.82,123
18861,19.47,123
18860,3.33,123
18859,2.9,123
18858,3.47,123
18857,18.76,123
18856,15.82,123
18855,2.65,123
18896,20.53,123
18873,21.91,123
18875,39.96,123
18876,33.49,123
18894,21.49,123
18893,27.93,123
18892,3.82,123
18891,2.9,123
18890,20.42,123
18874,15.96,123
18888,3.19,123
18887,22.34,123
18886,20.0,123
18889,12.0,123
18877,11.4,123
18878,18.62,123
18879,15.82,123
18885,12.67,123
18880,5.24,123
18881,4.07,123
18882,16.21,123
18883,16.78,123
18884,11.54,123
18930,5.84,129
18929,8.32,129
18945,12.14,129
18944,7.54,129
18943,9.84,129
18946,9.38,129
18941,18.27,129
18931,13.504999999999999,129
18932,3.26,129
18933,9.56,129
18935,12.74,129
18942,19.43,129
18934,10.02,129
18940,16.85,129
18939,9.24,129
18938,16.32,129
18937,21.35,129
18936,13.504999999999999,129
18948,3.01,130
18961,13.504999999999999,130
18960,10.55,130
18959,8.39,130
18958,6.41,130
18957,8.35,130
18956,28.14,130
18955,28.5,130
18953,12.04,130
18952,16.42,130
18951,8.78,130
18950,11.08,130
18949,8.74,130
18947,9.81,130
18954,25.35,130
