,날짜,설정EC(dS),현재EC(dS),설정PH(pH),현재PH(pH),현재일사(W),누적일사(J),J/Day,EC급액,pH급액,내부CO2,습도,평균온도
0,2021-09-12,2.8,3.458064516129032,5.0,4.183870967741935,0.0,1721.032258064516,1138.6451612903227,,,,,
1,2021-09-13,2.8,3.3049999999999997,5.0,4.358750000000001,154.00277777777777,649.8805555555556,2047.1805555555557,,,,,
2,2021-09-14,2.8,3.400278164116829,5.0,4.25980528511822,55.78442280945758,236.7162726008345,1353.1766342141864,,,,,
3,2021-09-15,2.8,3.311336717428088,5.0,4.309475465313029,307.1776649746193,821.3688663282572,505.68697123519456,,,,,
4,2021-09-16,2.8,3.0865090403337967,5.0,4.3559109874826145,147.769123783032,683.0111265646732,2221.892906815021,,,,,
5,2021-09-17,2.8,3.102638888888889,5.0,4.122916666666667,114.44444444444444,436.3263888888889,1307.3333333333333,,,,,
6,2021-09-18,2.8,3.32125,5.0,4.312777777777778,183.70555555555555,785.6361111111111,1012.4388888888889,,,,,
7,2021-09-19,2.8,3.0822222222222218,5.0,4.412916666666667,197.45833333333334,835.7777777777778,1628.6,,,,,
8,2021-09-20,2.8,2.986527777777778,5.0,4.429861111111111,214.40833333333333,919.6694444444445,1736.7333333333333,,,,,
9,2021-09-21,2.8,3.091111111111111,5.0,4.200972222222222,65.91944444444445,159.05694444444444,1857.6222222222223,,,,,
10,2021-09-22,2.8,3.05969868173258,5.0,4.519585687382298,202.045197740113,346.38418079096044,0.0,,,,,
11,2021-09-23,2.8,2.9546534653465346,5.0,4.778019801980198,331.5920792079208,1426.130693069307,1324.4455445544554,,,,,
12,2021-09-24,2.8,3.0966666666666667,5.0,4.4373611111111115,172.27916666666667,744.0638888888889,2065.1805555555557,,,,,
13,2021-09-25,2.8,3.0690277777777775,5.0,4.387777777777777,146.00416666666666,633.7458333333333,1517.375,,,,,
14,2021-09-26,2.8,3.1373076923076924,5.0,4.361410256410257,168.0076923076923,822.7038461538461,1291.4038461538462,,,,,
15,2021-09-27,2.8,3.0924731182795697,5.0,4.297509903791737,174.01980758347483,654.7906055461234,1618.220713073005,,,,,
16,2021-09-28,2.8,3.107222222222222,5.0,4.345,118.14722222222223,508.18055555555554,1652.7777777777778,,,,,
17,2021-09-29,2.8,3.0708333333333333,5.0,4.295277777777778,40.98888888888889,172.59583333333333,1044.1944444444443,,,,,
18,2021-09-30,2.8,3.069166666666667,5.0,4.376666666666666,231.7625,997.1333333333333,368.7083333333333,,,,,
19,2021-10-01,2.8,3.0820833333333333,5.0,4.504444444444444,217.0888888888889,928.9541666666667,2042.138888888889,,,,,
20,2021-10-02,2.8,3.092916666666667,5.0,4.753472222222222,213.06944444444446,899.45,1918.5972222222222,,,,,
21,2021-10-03,2.8,3.1247619047619044,5.0,4.717619047619047,211.21496598639456,941.4775510204082,1861.438775510204,,,,,
22,2021-10-04,2.8,3.0304166666666665,5.0,4.747638888888889,182.05555555555554,796.0194444444444,1901.9166666666667,,,,,
23,2021-10-05,2.8,3.0695873374788016,5.0,4.599717354437535,194.20746184284906,679.4505370265687,1604.5652911249294,,,,,
24,2021-10-06,2.8,3.046527777777778,5.0,4.355833333333333,207.15555555555557,898.9277777777778,1729.5333333333333,,,,,
25,2021-10-07,2.8,3.0840277777777776,5.0,4.174444444444444,146.92222222222222,455.77916666666664,1814.861111111111,,,,,
26,2021-10-08,2.8,3.36125,5.0,4.215,91.21944444444445,412.6222222222222,4.511111111111111,,,,,
27,2021-10-09,2.8,3.3480555555555553,5.0,4.269722222222222,187.7763888888889,788.2763888888888,816.7055555555555,,,,,
28,2021-10-10,2.8,3.2074149659863944,5.0,4.34578231292517,152.02993197278911,710.043537414966,1656.738775510204,,,,,
29,2021-10-11,2.8,3.247916666666667,5.0,4.104583333333333,31.884722222222223,138.55277777777778,1375.838888888889,,,,,
30,2021-10-12,2.8,3.213965341488277,5.0,3.7386340468909274,17.37308868501529,44.321100917431195,271.6085626911315,,,,,
31,2021-10-13,2.8,2.9806015037593983,5.0,4.1544360902255635,124.66165413533835,461.8481203007519,7.706766917293233,,,,,
32,2021-10-14,2.8,3.0966666666666667,5.0,4.33,142.9638888888889,599.9527777777778,1026.625,,,,,
33,2021-10-15,2.8,3.089861111111111,5.0,4.304166666666666,80.775,371.80694444444447,1255.173611111111,,,,,
34,2021-10-16,2.8,3.05,5.0,4.274444444444445,63.28194444444444,264.225,706.9583333333334,,,,,
35,2021-10-17,2.8,2.982585034013605,5.0,4.304285714285714,201.1156462585034,580.1836734693877,552.3061224489796,,,,,
36,2021-10-18,2.8,2.82797783933518,5.0,4.305318559556787,199.08864265927977,709.9739612188366,9.772853185595569,,,,,
37,2021-10-19,2.8,2.912727272727273,5.0,4.288787878787879,116.2439393939394,350.8272727272727,1753.3090909090909,,,,,
38,2021-10-20,2.8,3.2849999999999997,5.0,4.271944444444444,179.4,774.5736111111111,8.772222222222222,,,,,
39,2021-10-21,2.8,3.406111111111111,5.0,4.307222222222222,174.9,744.9194444444445,1578.8222222222223,6.0022112297426125,5.824829361296473,385.32888465204957,99.98408807435654,23.802049571020017
40,2021-10-22,2.8,3.3368055555555554,5.0,4.326388888888889,185.14305555555555,793.3291666666667,1547.5333333333333,5.727607448418157,5.845137551581844,473.73865199449796,92.86182190508941,22.725722145804674
41,2021-10-23,2.8,3.2829166666666665,5.0,4.310138888888889,185.30277777777778,798.6986111111111,1642.9722222222222,,,,,
42,2021-10-24,2.8,3.308299319727891,5.0,4.379115646258503,176.47619047619048,511.6231292517007,1624.6285714285714,,,,,
43,2021-10-25,2.8,3.3067278287461774,5.0,4.243374108053007,194.80682976554536,685.2930682976555,6.36901121304791,6.270492543331604,5.879204462895693,381.7426050856253,88.49854321224701,20.78247535028542
44,2021-10-26,2.8,2.9863888888888885,5.0,4.314722222222222,171.48472222222222,737.6611111111112,1561.75,5.931623268907563,5.8722314156431805,472.58392587804354,87.30539875673347,21.172154708037063
45,2021-10-27,2.8,2.847638888888889,4.719444444444444,4.269444444444445,129.44444444444446,543.9111111111112,1523.375,5.872710469768488,5.880874578556979,440.88873904248146,90.63766233535625,20.085772083614298
46,2021-10-28,2.8,2.9015277777777775,4.5,4.297083333333333,178.40416666666667,765.5597222222223,1150.9652777777778,5.694033491990847,5.918613729977117,486.3363844393593,89.00121417391304,19.346146453089247
47,2021-10-29,2.8,3.1029166666666663,4.5,4.290138888888889,163.80694444444444,705.9527777777778,1574.125,,,,,
48,2021-10-30,2.8,3.3555555555555556,4.5,4.184444444444445,87.4263888888889,389.74305555555554,1444.2916666666667,,,,,
49,2021-10-31,2.8,3.248611111111111,4.5,4.429861111111111,166.70416666666668,472.5444444444444,765.6458333333334,,,,,
50,2021-11-01,2.8,3.0844206426484906,4.5,4.567380720545278,122.09737098344694,437.6864654333009,6.192794547224927,,,,,
51,2021-11-02,2.8,3.120138888888889,4.5,4.3630555555555555,138.79583333333332,598.9527777777778,1271.611111111111,6.585616201550388,6.076344608879493,395.38548273431996,90.00358179704017,17.635757575757577
52,2021-11-03,2.8,2.9056944444444444,4.5,4.091527777777778,151.42083333333332,645.7055555555555,1216.8333333333333,5.657289280369718,6.083096610915493,456.97777288732397,88.85995548195422,20.295585387323943
53,2021-11-04,2.8,2.881111111111111,4.5,4.1125,148.7625,634.1402777777778,1335.8333333333333,5.002410337837838,6.169641891891891,504.13963963963965,88.79901011261262,17.44903153153153
54,2021-11-05,2.8,3.1025,4.5,4.084444444444444,135.98055555555555,594.6041666666666,1311.263888888889,,,,,
55,2021-11-06,2.8,3.1220833333333333,4.5,4.136111111111111,151.67083333333332,652.2486111111111,1206.9375,,,,,
56,2021-11-07,2.8,2.9626168224299065,4.5,4.121762349799733,136.37383177570092,626.4632843791723,1340.0387182910547,,,,,
57,2021-11-08,2.8,3.04257975034674,4.5,3.9901525658807215,23.294036061026354,86.19694868238558,1243.7253814147018,,,,,
58,2021-11-09,2.8,3.2505102040816327,4.5,3.872142857142857,28.50408163265306,115.87346938775511,202.6326530612245,,,,,
59,2021-11-10,2.8,3.1734722222222222,4.5,3.857222222222222,30.855555555555554,133.32916666666668,325.5763888888889,,,,,
60,2021-11-11,2.8,3.187313432835821,4.5,3.9279850746268656,79.31902985074628,197.375,265.0,,,,,
61,2021-11-12,2.8,2.850888888888889,4.5,4.319333333333334,75.74,410.03777777777776,492.8666666666667,6.494948516966904,5.699206535400084,607.3975701717637,91.91895834939254,17.041034771679932
62,2021-11-13,2.8,2.9606397774687063,4.5,4.00403337969402,132.2364394993046,560.4534075104311,484.76077885952714,6.453945835748793,5.7872806763285025,482.8852657004831,88.38658490821257,19.675608695652176
63,2021-11-14,2.8,3.0194666666666667,4.5,3.989866666666667,95.23466666666667,434.812,1153.9813333333334,5.954929682628062,5.729143930957684,471.1923719376392,88.53946260857462,19.444487750556796
64,2021-11-15,2.8,3.0751838235294118,4.5,3.8588235294117643,27.691176470588236,555.8933823529412,876.3897058823529,5.3873518095238095,5.721473015873015,481.16507936507935,87.12796853968254,17.035619047619047
65,2021-11-16,2.8,3.187239944521498,4.5,4.145353675450763,134.24826629681,381.79611650485435,1190.6851595006935,5.2646925119490176,5.682285714285714,535.5809877854488,89.10502115241636,17.437541157727033
66,2021-11-17,2.8,3.0180806675938805,4.5,4.179554937413074,142.27538247566065,608.5285118219749,6.98191933240612,4.763855356488011,5.678097320169253,499.32052186177714,85.08731039844852,22.48870944992948
67,2021-11-18,2.8,2.801803051317614,4.5,4.210124826629681,110.35506241331484,317.6144244105409,1246.2968099861305,4.579987052678772,5.668751625196144,504.3790629903609,87.40310263169692,19.211542255099754
68,2021-11-19,2.8,3.08970792767733,4.5,4.156189151599444,103.80945757997219,468.6189151599444,5.17941585535466,4.763163007389163,5.671361397223466,506.9596954769369,94.82664294446933,19.956468875951632
69,2021-11-20,2.8,3.3330555555555557,4.5,4.075138888888889,119.80277777777778,506.2138888888889,931.7166666666667,4.907379845338046,5.651446531153336,515.8451171011931,99.7436602076889,21.05996906760937
70,2021-11-21,2.8,3.317777777777778,4.5,4.046388888888889,59.645833333333336,269.5152777777778,1057.0388888888888,4.3610828960177,5.510646902654867,529.9723451327434,99.76173199557522,18.967924778761063
71,2021-11-22,2.772769953051643,3.320892018779343,4.5,3.950156494522692,55.08920187793427,177.39906103286384,526.6776212832551,9.964875031722793,5.203668618838457,593.3599316739873,99.66669635431919,17.58348950707662
72,2021-11-23,2.6,3.2183727034120735,4.5,4.0922134733158355,54.14173228346457,288.0988626421697,424.11198600174976,2.945455208756488,5.178873166328143,553.9047619047619,99.73058817648386,17.532604378244187
73,2021-11-24,2.6,3.0431944444444445,4.5,4.035555555555556,93.70555555555555,406.7986111111111,442.18333333333334,4.5214971893687705,5.314525138427464,497.49413067552604,99.77346063787375,18.864885935769657
74,2021-11-25,2.6,2.955511022044088,4.614829659318637,3.942084168336673,106.60320641282566,234.54108216432866,834.0521042084168,6.222922234826999,5.551429948950653,579.7084515031197,99.69217397617697,17.617765173000567
75,2021-11-26,2.6,2.8683333333333336,4.8,4.361805555555556,132.50416666666666,563.4458333333333,939.6041666666666,5.3933914112227805,5.609368090452262,513.8287269681742,99.75112772613065,22.733718592964824
76,2021-11-27,2.6,2.733888888888889,4.8,4.4825,133.15277777777777,565.2194444444444,1169.0277777777778,4.886983893737166,687.0192402464065,529.0854722792608,99.70271811601643,19.995949691991786
77,2021-11-28,2.6,2.962993197278912,4.8,4.648503401360545,123.99727891156462,547.3755102040816,1172.4183673469388,4.645628421495327,5.652689719626168,535.3532710280374,99.66149557943926,18.150504672897195
78,2021-11-29,2.6,2.970439189189189,4.8,4.542398648648649,152.9391891891892,419.5506756756757,1116.0,,,,,
79,2021-11-30,2.6,2.818610129564193,4.8,4.87055359246172,10.411071849234393,33.302709069493524,0.5064782096584217,,,,,
80,2021-12-01,2.6,2.7279166666666663,4.8,4.648611111111111,78.49583333333334,333.31944444444446,47.52777777777778,,,,,
81,2021-12-02,2.6,2.7936111111111113,4.8,4.559027777777778,92.45277777777778,138.7736111111111,691.9513888888889,,,,,
82,2021-12-03,2.6,2.839722222222222,4.8,4.65625,69.68888888888888,302.5027777777778,258.5208333333333,,,,,
83,2021-12-04,2.6,2.7983333333333333,4.8,4.227222222222222,48.50416666666667,223.24027777777778,617.6736111111111,,,,,
84,2021-12-05,2.6,2.7201360544217685,4.8,4.040680272108844,117.33469387755102,516.3931972789115,434.44897959183675,,,,,
85,2021-12-06,2.6,2.6055555555555556,4.8,4.034583333333334,106.84305555555555,459.68611111111113,1059.2083333333333,,,,,
86,2021-12-07,2.6941361256544503,2.7734031413612565,4.8,4.022146596858639,131.1806282722513,426.67539267015707,946.4764397905759,,,,,
87,2021-12-08,2.8,3.069583333333333,4.8,4.045833333333333,120.85694444444445,338.3333333333333,1029.798611111111,,,,,
88,2021-12-09,2.8,2.9409722222222223,4.8,4.008888888888889,73.62083333333334,318.1347222222222,4.465277777777778,,,,,
89,2021-12-10,2.8,2.885833333333333,4.8,3.94875,28.65972222222222,68.61805555555556,638.5347222222222,,,,,
90,2021-12-11,2.8,3.0568055555555556,4.8,3.965694444444444,93.96111111111111,252.18472222222223,0.0,,,,,
91,2021-12-12,2.8,3.100272108843537,4.8,3.996530612244898,53.10884353741496,141.2421768707483,0.0,,,,,
92,2021-12-13,2.8,2.9516666666666667,4.8,4.102083333333334,122.49861111111112,513.6722222222222,7.472222222222222,,,,,
93,2021-12-14,2.8,3.0819444444444444,4.8,4.10125,86.77361111111111,232.85694444444445,1068.5277777777778,,,,,
94,2021-12-15,2.8,3.0987372510927638,4.8,4.0890237979601745,119.23069451189897,457.330257406508,4.895580378824672,,,,,
95,2021-12-16,2.8,3.0224958949096883,4.8,3.9267651888341546,37.5944170771757,97.74220032840722,1003.2183908045977,,,,,
96,2021-12-17,2.8,2.9434722222222223,4.8,4.047361111111111,55.18194444444445,239.27083333333334,281.4166666666667,,,,,
97,2021-12-18,2.8,2.725,4.8,4.142222222222222,118.34166666666667,496.03055555555557,487.8611111111111,,,,,
98,2021-12-19,2.8,2.6843537414965986,4.8,4.088639455782313,70.79591836734694,189.3877551020408,1029.3877551020407,,,,,
99,2021-12-20,2.8,2.6894444444444443,4.8,4.047638888888889,63.93055555555556,268.23333333333335,3.951388888888889,,,,,
100,2021-12-21,2.8,2.73365,4.8,3.9978000000000002,87.2205,304.5435,569.6,,,,,
101,2021-12-22,2.8,2.9033333333333333,4.8,4.035833333333334,116.85833333333333,321.84305555555557,715.0055555555556,,,,,
102,2021-12-23,2.8,3.004166666666667,4.8,4.01375,108.28055555555555,455.34722222222223,5.333333333333333,,,,,
103,2021-12-24,2.8,2.846805555555556,4.8,4.047777777777778,86.69583333333334,373.6069444444444,958.9666666666667,,,,,
104,2021-12-25,2.8,2.6743055555555557,4.8,4.125277777777778,120.725,506.0777777777778,775.6277777777777,,,,,
105,2021-12-26,2.8,2.9942857142857147,4.8,4.169319727891156,118.86122448979592,515.1945578231292,1067.0163265306123,,,,,
106,2021-12-27,2.8,3.0804394426580917,4.8,4.188853161843515,112.45819935691318,369.33118971061094,1068.2540192926044,,,,,
107,2021-12-28,2.8,2.8519444444444444,4.8,3.92875,38.918055555555554,162.52916666666667,891.9111111111112,,,,,
108,2021-12-29,2.8,2.8737451737451734,4.8,3.2934362934362933,1.0,0.007722007722007722,339.0,,,,,
109,2021-12-31,2.8,3.026463700234192,4.8,4.391803278688524,192.53864168618267,859.2224824355972,751.1194379391101,,,,,
110,2022-01-01,2.8,3.037361111111111,4.8,4.012361111111111,113.5125,462.77916666666664,1080.5166666666667,,,,,
111,2022-01-02,2.8,2.9747222222222223,4.8,3.8631944444444444,67.63472222222222,179.11666666666667,988.4777777777778,,,,,
112,2022-01-03,2.8,3.010869565217391,4.8,3.7890269151138716,88.19565217391305,366.22463768115944,4.3146997929606625,,,,,
113,2022-01-04,2.8,3.0468055555555553,4.8,4.115694444444444,125.37777777777778,525.2347222222222,1042.3555555555556,,,,,
114,2022-01-05,2.8,2.958472222222222,4.8,4.204027777777778,63.141666666666666,265.14166666666665,1102.9333333333334,,,,,
115,2022-01-06,2.8,2.8875,4.8,4.288194444444445,123.54444444444445,511.0180555555556,556.9611111111111,,,,,
116,2022-01-07,2.8,2.7731944444444445,4.8,4.517083333333334,128.66944444444445,532.0805555555555,1087.25,,,,,
117,2022-01-08,2.8,3.0043055555555553,4.8,4.438055555555556,124.60555555555555,516.0402777777778,1131.8166666666666,,,,,
118,2022-01-09,2.8,3.1445333333333334,4.8,4.6044,80.40266666666666,346.64666666666665,1095.128,,,,,
119,2022-01-10,2.8,3.085206532180596,4.8,4.3275696445725265,94.70701248799232,338.5312199807877,737.4601344860711,,,,,
120,2022-01-11,2.8,3.1305555555555555,4.8,4.484999999999999,128.7097222222222,531.125,1040.6319444444443,,,,,
121,2022-01-12,2.8,2.9412500000000006,4.8,4.474444444444444,131.57916666666668,547.9125,1131.236111111111,,,,,
122,2022-01-13,2.8,2.6516690856313496,4.8,4.507692307692308,81.99129172714079,389.2641509433962,1162.6560232220609,,,,,
123,2022-01-14,2.8,2.8433333333333333,4.8,4.655138888888889,133.43194444444444,548.95,844.3055555555555,,,,,
124,2022-01-15,2.8,2.981666666666667,4.8,4.863888888888889,117.1986111111111,202.21805555555557,1168.5347222222222,,,,,
125,2022-01-16,2.8,3.0933333333333333,4.8,4.7356,108.42133333333334,460.6813333333333,395.12,,,,,
126,2022-01-17,2.8,3.042083333333333,4.8,4.560694444444445,61.08888888888889,256.2763888888889,992.7430555555555,,,,,
127,2022-01-18,2.8,2.9424200278164117,4.8,4.610013908205842,138.26703755215578,571.3949930458971,530.8664812239222,,,,,
128,2022-01-19,2.8,2.9355555555555553,4.8,4.508472222222222,112.55833333333334,482.5736111111111,1220.75,,,,,
129,2022-01-20,2.8,2.877638888888889,4.8,4.264722222222222,137.45833333333334,565.4361111111111,998.2,,,,,
130,2022-01-21,2.8,2.854861111111111,4.8,4.264166666666666,133.22083333333333,555.6625,1212.8222222222223,,,,,
131,2022-01-22,2.8,2.8520833333333333,4.8,4.016805555555555,62.15277777777778,256.35277777777776,1177.4444444444443,,,,,
132,2022-01-23,2.8,2.930416666666667,4.8,3.9468055555555552,74.50138888888888,317.8041666666667,541.6444444444444,,,,,
133,2022-01-24,2.8,2.923194444444444,4.8,4.0976388888888895,61.51111111111111,262.4458333333333,656.3666666666667,,,,,
134,2022-01-25,2.8,2.9279630943931867,4.8,3.9336408800567777,35.56706884315117,57.82256919801277,541.7707594038325,,,,,
135,2022-01-26,2.8,3.1640277777777777,4.8,3.9440277777777775,114.97083333333333,478.3208333333333,114.9888888888889,,,,,
136,2022-01-27,2.8,3.090138888888889,4.8,3.9944444444444445,141.73194444444445,585.1236111111111,1009.3777777777777,,,,,
137,2022-01-28,2.8,2.8673611111111112,4.8,4.110138888888889,146.8138888888889,603.9444444444445,1256.25,,,,,
138,2022-01-29,2.8,3.0216666666666665,4.8,4.142777777777778,139.20833333333334,564.8402777777778,1300.6166666666666,,,,,
139,2022-01-30,2.8,3.2095833333333337,4.8,4.130833333333333,152.28333333333333,630.1430555555555,1232.6888888888889,,,,,
140,2022-01-31,2.8,2.900972222222222,4.8,4.2652777777777775,154.74166666666667,637.8930555555555,1356.0777777777778,,,,,
141,2022-02-01,2.8,2.7563888888888886,4.8,4.35,64.47222222222223,188.16805555555555,1362.388888888889,,,,,
142,2022-02-02,2.8,2.854722222222222,4.8,4.257222222222222,118.55555555555556,478.45972222222224,5.816666666666666,,,,,
143,2022-02-03,2.8,2.940368271954674,4.8,4.289093484419263,158.20254957507083,653.0028328611897,1048.8753541076487,,,,,
144,2022-02-04,2.8,3.0518055555555557,4.8,4.178472222222222,110.47083333333333,444.57916666666665,1375.2222222222222,,,,,
145,2022-02-05,2.8,2.977222222222222,4.8,4.214444444444444,112.34444444444445,453.55833333333334,978.0,,,,,
146,2022-02-06,2.8,2.9720833333333334,4.8,4.138472222222222,85.98333333333333,347.59027777777777,976.4861111111111,,,,,
147,2022-02-07,2.8,2.9482242990654206,4.8,3.9940186915887854,120.77570093457943,244.46728971962617,760.0,,,,,
